ID,Module,Area,Type,Priority,Status,File Path,Line,Title,Description,Notes
T001,POS,Ticket Terminal,Bug,HIGH,OPEN,src/components/pos/TicketTerminal.tsx,64,Hardcoded fallback mobile number,"guestMobile defaults to '9000000000' when blank — corrupts GuestProfile upsert and masks missing data","Should either require mobile or mark booking as walk-in-anonymous"
T002,POS,Ticket Terminal,Feature,HIGH,IN PROGRESS,src/components/pos/TicketTerminal.tsx,170,ID Proof entry missing from walk-in sale,"No idProofType or idProofNumber fields in POS walk-in form even though Booking schema has them","Schema fields: idProofType (enum), idProofNumber (String?)"
T003,POS,Ticket Terminal,Feature,HIGH,IN PROGRESS,src/components/pos/TicketTerminal.tsx,244,Manual discount entry missing,"No way for staff to apply a manual/staff discount with a reason field","discountAmount already in schema and API — just not exposed in UI"
T004,POS,Ticket Terminal,Feature,HIGH,IN PROGRESS,src/components/pos/TicketTerminal.tsx,13,Booking search tab missing,"Customer who already booked should be look-up-able by booking number or mobile in POS","booking-lookup API at /api/v1/pos/booking-lookup already exists"
T005,POS,API,Bug,HIGH,IN PROGRESS,src/app/api/v1/pos/ticket-sale/route.ts,44,SALES_EXECUTIVE blocked from ticket-sale API,"requireSubRole only allows TICKET_COUNTER but POS hub also shows ticket terminal to SALES_EXECUTIVE","Fix: add SALES_EXECUTIVE to requireSubRole call"
T006,POS,API,Bug,MEDIUM,OPEN,src/app/api/v1/pos/booking-lookup/route.ts,11,SALES_EXECUTIVE blocked from booking-lookup API,"booking-lookup only allows TICKET_COUNTER — SALES_EXECUTIVE cannot look up bookings","Fix: add SALES_EXECUTIVE"
T007,POS,Food Terminal,Missing,HIGH,OPEN,src/app/(staff)/staff/pos/food/page.tsx,-,Food POS terminal page missing,"POS hub links to /staff/pos/food but the page component does not exist","Backend food API routes exist at /api/v1/food/"
T008,POS,Food Terminal,Missing,HIGH,OPEN,src/components/pos/FoodTerminal.tsx,-,FoodTerminal component missing,"No component for F&B staff to take orders at the POS","Similar pattern to LockerTerminal and CostumeTerminal"
T009,QR Scan,Ride Access,Bug,HIGH,OPEN,src/app/api/v1/rides/[id]/access-log/route.ts,138,No duplicate scan protection on ride access,"Same QR scanned twice within seconds creates two RideAccessLog entries; no idempotency key","Add scanId or dedupe by (bookingId + rideId + rounded-timestamp)"
T010,QR Scan,Gate,Feature,MEDIUM,OPEN,src/app/api/v1/scan/gate/route.ts,83,Re-entry allowed silently,"CHECKED_IN bookings return reEntry:true and succeed — design allows re-entry but no alert is logged","Should log a security audit event for re-entry scans"
